Mã_Tin,Thời_Gian_Đăng,Thành_Phố,Quận_Huyện,Giá_Cho_Thuê,Diện_Tích_m2,Tiêu_Đề,Mô_Tả,Nổi_Bật
700456,"Thứ 7, 08:51 07/03/2026",Đà Nẵng,Liên Chiểu,2.7,18.0,Cho thue phòng trọ - Homestay full nội thất giá sinh viên,"Cho thue phong trọ - Homestay full nội thất, phong thoáng mát co ban công, co giặt giũ miễn phí. Giá từ 2tr5 den 3tr500","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
702397,"Thứ 2, 21:28 09/03/2026",Đà Nẵng,Hải Châu,4.0,30.0,"Cho thuê phòng số 79 Hoá Sơn 6, Đà Nẵng","CHO THUÊ PHÒNG NGỦ FULL NỘI THẤT – ĐƯỜNG HÓA SƠN 6, ĐÀ NẴNG Nhà đẹp, vào ở ngay – phù hợp gia đình, nhóm bạn hoặc chuyên gia làm việc tại Đà Nẵng. Vị trí: Đường Hóa Sơn 6, khu vực yên tĩnh, an ninh tốt, giao thông thuận tiện, ngay trung tâm thành phố, khu Công viên Châu Á Thông tin chi tiết: • phòng ngủ rộng rãi • Bếp đầy đủ tiện nghi • WC từng phòng • Có ban công Nội thất đầy đủ: • Giường, tủ, nệm • Máy lạnh • Tủ lạnh • Bếp • Sofa → Chỉ cần mang vali vào ở ngay Tiện ích: • Khu dân cư văn minh • Gần chợ, siêu thị lotte, trường học • Có chỗ để xe an toàn • Điện nước tính theo giá nhà nước Giá thuê: 4.000.000/tháng Hợp đồng linh hoạt, ưu tiên thuê lâu dài. Liên hệ: 0985002122 Inbox hoặc gọi trực tiếp để xem nhà thực tế","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
702779,"Thứ 4, 14:14 11/03/2026",Đà Nẵng,Hải Châu,1.7,18.0,"Cho thuê phòng trọ gần sân bay, ưu tiên nữ sinh viên duy tân","cho thuê phòng trọ 1 người ở gần sân bay, ưu tiên nữ sinh viên duy tân. Giá chưa gồm điện nước và internet. Gọi số 0792723780 trước khi đến.",
702424,"Thứ 5, 08:50 05/03/2026",Đà Nẵng,Cẩm Lệ,3.3,20.0,"CHO THUÊ PHÒNG TRỌ Khu vực Đại học Kiến trúc, Đông Á, Ngoại Ngữ","Phòng diện tích 20m², có gác lửng, điều hoà, nước nóng, bếp. Có chỗ để xe riêng của phòng, phơi đồ. Khu vực xung quanh rộng rãi, mát mẻ, an ninh. Địa chỉ: Bình Hoà 15, phường Cẩm Lệ (Khuê Trung cũ), TP. Đà Nẵng. Liên hệ: Gọi trực tiếp số 0903 510 094 (chú Thìn) hoặc Zalo 0795 000 568","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
593254,"Thứ 5, 18:28 26/02/2026",Đà Nẵng,Ngũ Hành Sơn,2.0,20.0,Cho thuê phòng trọ giá rẻ khu vực ngay chợ Non Nước,"Cho thuê nhà ngay chợ Non Nước , gần nhiều trường đại học cao đẳng cho các bạn sinh viên như Đại học công nghệ thông tin và truyền thông Việt - Hàn , Trường ĐH FPT Đà Nẵng ….. Có lối để xe rộng rãi An ninh tốt phòng ở thoáng mát sạch sẽ có wifi free ( nhiều phòng có trang thiết bị đầy đủ như giường , tủ …) camera 24/24 nên mọi người có thể yên tâm tất cả các phòng đều có cửa số thoáng mát nhiều ánh sáng Có thể trực tiếp đến xem phòng bất cứ lúc nào . Hãy liên hệ nếu bạn cần nhé","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
701858,"Thứ 2, 16:34 23/02/2026",Đà Nẵng,Thanh Khê,3.5,30.0,Phòng trọ hẻm ngã ba đô quang lê đình lý,"Cho thuê phòng trọ k64/H02/26 Lê Đình Lý(gần cuối hẻm cụt), Thanh Khê, Đà Nẵng, gần đại học Duy Tân, chợ Tân Lập Phòng trọ có nhà vệ sinh riêng, điều hoà, sân rộng để xe và phơi đồ , gác lửng, không chung chủ giá 3tr5 VUI LÒNG LIÊN HỆ ĐỂ BIẾT THÊM CHI TIẾT VÀ XEM PHÒNG, CHỦ TRỌ Ở CHỖ KHÁC CẦN HẸN TRƯỚC ĐỂ XEM PHÒNG,","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
701723,"Thứ 3, 09:53 10/02/2026",Đà Nẵng,Liên Chiểu,4.0,30.0,CHO THUÊ PHÒNG FULL NỘI THẤT GẦN NGÃ BA HUẾ,"CĂN HỘ FULL NỘI THẤT GẦN NGÃ BA HUẾ MỚI XÂY 100% --------------------------- Vị trí: Hoà Phú 28, Hoà Minh, Liên Chiểu - Gần ĐH Duy Tân, ĐH sư phạm, ĐH FPT, bến xe, chợ, siêu thị Mega, công viên, biển,… - Đầy đủ nội thất tiện nghi - Máy giặt, điều hoà, nước nóng, tủ lạnh, bếp, sân phơi, wifi riêng - Cửa sổ thoáng mát - Camera an ninh tốt - Cọc 1 tháng. Thanh toán linh hoạt GIÁ 4tr triệu/ tháng ️Liên hệ: 0766674154 Zalo","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
673815,"Thứ 3, 08:16 03/02/2026",Đà Nẵng,Sơn Trà,3.3,28.0,Cho thuê phòng trọ sơn trà đà nẵng,"- Phòng nội thất đầy đủ (giường, nệm, điều hoà, nước nóng lạnh, tủ quần áo, bàn ghế, máy giặt và bếp , khu vực phơi đồ rộng rãi tiện lợi) - Thuộc khu vực cao ráo không ngập lụt, an ninh, yên tĩnh, mát mẻ, camera 24/7 - Giá: 3.300k-3.500k/phòng - Điện: 3k/chữ, nước 6k, free wifi - Thanh toán 1 tháng + cọc 1 tháng Liên hệ: 0979104233","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
690992,"Thứ 2, 07:13 02/02/2026",Đà Nẵng,Liên Chiểu,3.0,20.0,Nhà Trọ Bảo An - Phước Lý - Đại Học Duy Tân Hòa Khánh,"Nhà Trọ Bảo An - Phước Lý - Đại Học Duy Tân Hòa Khánh Căn hộ 3 tầng, thoáng mát, sạch sẽ, chất lượng cao Vị trí lý tưởng tại KĐT Phước Lý, ngay sát Đại Học Duy Tân Đường 7.5m, an ninh, sạch sẽ, cách Winmart,Bách Hóa Xanh 1 phút di chuyển Nhà trọ 3 tầng hướng Đông Bắc mát mẻ, vừa hoàn thiện, thiết kế thoáng mát, sạch sẽ và hiện đại Trang bị đầy đủ hệ thống báo cháy, camera an ninh 24/7 Máy lọc nước cho từng tầng Đầy đủ tiện nghi: gác lửng, điều hòa, nước nóng, bếp nấu tiện lợi Có thể lắp thêm tủ lạnh và máy giặt theo yêu cầu (theo điều kiện cụ thể) Chi phí hợp lý: điện 4.000 VNĐ/kWh, nước 50.000 VNĐ/người, Wifi free Chỉ còn 1 phòng tầng 3, nhìn ra đường chính (video) Giá 3.000.000VNĐ/tháng/phòng Địa chỉ: 60 Nguyễn Thị Cận - Hòa Khánh - Đà Nẵng Liên hệ: Anh Sơn 0983441509","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
310998,"Thứ 2, 18:32 26/01/2026",Đà Nẵng,Cẩm Lệ,3.1,35.0,"Phòng trọ độc lập dạng nhà nguyên căn, có sân trước và sân sau riêng","Phòng trọ dạng nhà riêng, rộng thoáng có sân trước, và sân sau để phơi đồ ngoài trời riêng biệt, tránh mất trộm, có gác lửng đúc bê tông, không bao giờ ngập nước, có điều hoà, có bình nóng lạnh, wc có vòi sen, điện theo bậc thang từ 2.5k, nước 6k, wifi miễn phí, tự quản. Ô tô vào tới cửa phòng.","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
701186,"Thứ 7, 09:21 24/01/2026",Đà Nẵng,Sơn Trà,1.7,15.25,Cho thuê phòng trọ giá rẻ trong nhà nguyên căn,"Phòng rộng từ 15 - 25 m2 , có cửa sổ thoáng mát , vệ sinh riêng , có giường nệm, bàn ghế tủ áo, quạt điện , có chổ nấu ăn gần chơ , gần biển , an ninh Giá phòng : phòng nhỏ 1,7tr ở 1 người, 2 tr ở 2 người. Phòng lớn 2tr ở 1 người 2,5tr ở 2 người 3tr ở 3 đến 4 ngưòi ( nếu ở gia đình và lâu dài sẻ được giảm ) Tiền phòng thu tháng một từ đầu tháng, tiền cọc 1tr .Giờ giấc tự do Điện thoại liên hệ: 0763698286 .","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
701178,"Thứ 6, 20:34 23/01/2026",Đà Nẵng,Hải Châu,4.3,35.0,Cho thuê phòng full nội thất trung tâm quận hải châu đường hoàng diệu. Đà nẵng.,"CHO THUÊ PHÒNG FULL NỘI THẤT , KHU TRUNG TÂM QUẬN HẢI CHÂU , GẦN CHỢ (20m). VÀ CÁC TRƯỜNG ĐẠI HỌC (500 m-1 km). Địa chỉ: 47 Hoàng Diệu, Hải Châu, Đà Nẵng. Nhà mặt tiền 8m xe oto đậu trước nhà. Thông tin liên hệ: 0988331119. + Phòng có Diện tích từ 32m2: Giá từ 4,3tr/ phòng. + Phòng thoáng mát, có cửa sổ, lấy được gió và khí trời tự nhiên + Đầy đủ trang thiết bị: giường, nệm, tủ, bàn ghế, tủ lạnh lớn, bếp điện, điều hòa, nóng lạnh … + Free Wifi + Camera quan sát 24/24 + Hệ thống PCCC đạt chuẩn, có báo cháy từng phòng + Nhà để xe rộng rãi + Giặt và sân phơi trong nhà thoải mái + Không chung chủ, giờ giấc ra vào tự do + Khu dân cư cực kỳ an toàn, yên tĩnh. + Thanh toán hằng tháng, có đặt cọc trước 1 tháng. + Điện: 4.000/kwh. Nước: 60.000/người","Đầy đủ nội thất, Có gác, Có kệ bếp, Có máy lạnh, Có máy giặt, Có tủ lạnh, Có thang máy, Không chung chủ, Giờ giấc tự do, Có bảo vệ 24/24, Có hầm để xe"
