Thành_Phố,Thành_Phố_Encoded,Quận_Huyện,Quận_Huyện_Encoded,Giá_Cho_Thuê,Log_Giá,Diện_Tích_m2,Log_Diện_Tích,Máy_Lạnh,Nóng_Lạnh,Thang_Máy,Tủ_Lạnh,Máy_Giặt,Đầy_Đủ_Nội_Thất,Có_Gác_Lửng,Bảo_Vệ_An_Ninh,Giờ_Tự_Do,Không_Chung_Chủ
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,2.7,1.308332819650179,18.0,2.9444389791664403,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,4.0,1.6094379124341003,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,1.7,0.9932517730102833,18.0,2.9444389791664403,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,3.3,1.4586150226995167,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,2.0,1.0986122886681098,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,3.5,1.5040773967762742,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,4.0,1.6094379124341003,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,3.3,1.4586150226995167,28.0,3.367295829986474,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,3.0,1.3862943611198906,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,3.1,1.410986973710262,35.0,3.58351893845611,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,1.7,0.9932517730102833,15.25,2.7880929087757464,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,4.3,1.667706820558076,35.0,3.58351893845611,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.8,1.5686159179138452,25.0,3.258096538021482,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,4.0,1.6094379124341003,23.0,3.1780538303479458,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,2.0,1.0986122886681098,35.0,3.58351893845611,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,2.0,1.0986122886681098,15.0,2.772588722239781,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,1.0,0.6931471805599453,22.0,3.1354942159291497,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Liên Chiểu,1.8261194029850745,2.2,1.1631508098056809,18.0,2.9444389791664403,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,2.2,1.1631508098056809,27.0,3.332204510175204,0,0,0,0,0,0,1,1,1,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,2.5,1.252762968495368,30.0,3.4339872044851463,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.0,1.3862943611198906,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,3.5,1.5040773967762742,26.0,3.295836866004329,1,0,0,0,1,0,0,1,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,2.8,1.33500106673234,20.0,3.044522437723423,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.0,1.3862943611198906,20.0,3.044522437723423,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,4.0,1.6094379124341003,36.0,3.6109179126442243,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,4.5,1.7047480922384253,40.0,3.713572066704308,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,3.0,1.3862943611198906,27.0,3.332204510175204,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Thanh Khê,2.0542857142857143,3.2,1.4350845252893227,18.0,2.9444389791664403,0,0,0,0,0,0,0,1,1,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,2.7,1.308332819650179,25.0,3.258096538021482,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,5.0,1.791759469228055,40.0,3.713572066704308,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,1.23,0.8020015854720274,20.0,3.044522437723423,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Sơn Trà,2.4665333333333335,1.5,0.9162907318741551,15.0,2.772588722239781,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Ngũ Hành Sơn,2.381294117647059,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,1.6,0.9555114450274363,21.0,3.091042453358316,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.1852913012729847,Cẩm Lệ,2.1976377952755906,3.5,1.5040773967762742,22.0,3.1354942159291497,1,1,0,0,1,1,0,0,0,0
Đà Nẵng,2.1852913012729847,Hải Châu,2.3276889830508476,3.4,1.4816045409242156,23.0,3.1780538303479458,1,1,1,1,1,1,1,1,1,1
